"[-52.916168, -184.554871]","[-36.916168, -146.554871]","[-35.916168, -175.554871]"
"[-16.916168, -148.554871]","[-15.916168, -151.554871]","[-17.916168, -149.554871]"
"[-16.916168, -148.554871]","[-17.916168, -149.554871]","[-19.916168, -150.554871]"
"[-16.916168, -148.554871]","[-19.916168, -150.554871]","[-30.916168, -142.554871]"
"[-16.916168, -148.554871]","[-30.916168, -142.554871]","[-24.916168, -137.554871]"
"[-5.916168, -140.554871]","[-16.916168, -148.554871]","[-24.916168, -137.554871]"
"[-5.916168, -140.554871]","[-24.916168, -137.554871]","[-17.916168, -133.554871]"
"[-17.916168, -133.554871]","[-10.916168, -129.554871]","[-5.916168, -140.554871]"
"[-36.916168, -146.554871]","[-30.916168, -142.554871]","[-19.916168, -150.554871]"
"[-36.916168, -146.554871]","[-19.916168, -150.554871]","[-16.916168, -156.554871]"
"[-16.916168, -156.554871]","[-12.916168, -161.554871]","[-33.916168, -176.554871]"
"[-16.916168, -156.554871]","[-33.916168, -176.554871]","[-35.916168, -175.554871]"
"[-16.916168, -156.554871]","[-35.916168, -175.554871]","[-36.916168, -146.554871]"
"[-7.916168, -144.554871]","[-0.916168, -154.554871]","[-7.916168, -157.554871]"
"[-7.916168, -144.554871]","[-7.916168, -157.554871]","[-13.916168, -148.554871]"
"[-0.916168, -154.554871]","[5.083832, -151.554871]","[10.083832, -162.554871]"
"[-0.916168, -154.554871]","[10.083832, -162.554871]","[2.083832, -168.554871]"
"[-0.916168, -154.554871]","[2.083832, -168.554871]","[-6.916168, -174.554871]"
"[-0.916168, -154.554871]","[-6.916168, -174.554871]","[-11.916168, -161.554871]"
"[-85.916168, -132.554871]","[-80.916168, -129.554871]","[-76.916168, -131.554871]"
"[-85.916168, -132.554871]","[-76.916168, -131.554871]","[-74.916168, -149.554871]"
"[-85.916168, -132.554871]","[-74.916168, -149.554871]","[-80.916168, -141.554871]"
"[-74.916168, -149.554871]","[-76.916168, -131.554871]","[-76.916168, -127.554871]"
"[-54.916168, -123.554871]","[-50.916168, -128.554871]","[-46.916168, -134.554871]"
"[-54.916168, -123.554871]","[-42.916168, -140.554871]","[-38.916168, -146.554871]"
"[-54.916168, -123.554871]","[-38.916168, -146.554871]","[-63.916168, -166.554871]"
"[-54.916168, -123.554871]","[-63.916168, -166.554871]","[-74.916168, -149.554871]"
"[-54.916168, -123.554871]","[-74.916168, -149.554871]","[-76.916168, -127.554871]"
"[-63.916168, -166.554871]","[-69.916168, -158.554871]","[-74.916168, -149.554871]"
"[-54.916168, -123.554871]","[-46.916168, -134.554871]","[-42.916168, -140.554871]"
"[10.083832, -127.554871]","[9.083832, -125.554871]","[10.083832, -122.554871]"
"[10.083832, -127.554871]","[10.083832, -122.554871]","[12.083832, -120.554871]"
"[47.083832, -129.554871]","[50.083832, -133.554871]","[44.083832, -137.554871]"
"[47.083832, -129.554871]","[44.083832, -137.554871]","[42.083832, -126.554871]"
"[22.083832, -113.554871]","[23.083832, -110.554871]","[30.083832, -107.554871]"
"[22.083832, -113.554871]","[30.083832, -107.554871]","[36.083832, -116.554871]"
"[25.083832, -153.554871]","[36.083832, -116.554871]","[44.083832, -137.554871]"
"[36.083832, -116.554871]","[42.083832, -126.554871]","[44.083832, -137.554871]"
"[18.083832, -158.554871]","[10.083832, -162.554871]","[5.083832, -151.554871]"
"[18.083832, -158.554871]","[5.083832, -151.554871]","[25.083832, -153.554871]"
"[5.083832, -131.554871]","[6.083832, -133.554871]","[4.083832, -134.554871]"
"[7.083832, -126.554871]","[8.083832, -128.554871]","[7.083832, -130.554871]"
"[7.083832, -126.554871]","[7.083832, -130.554871]","[5.083832, -131.554871]"
"[-15.916168, -111.554871]","[-15.916168, -109.554871]","[-12.916168, -108.554871]"
"[-15.916168, -111.554871]","[-12.916168, -108.554871]","[-13.916168, -114.554871]"
"[-16.916168, -118.554871]","[-16.916168, -115.554871]","[-13.916168, -114.554871]"
"[-16.916168, -118.554871]","[-13.916168, -114.554871]","[-10.916168, -125.554871]"
"[10.083832, -122.554871]","[9.083832, -125.554871]","[7.083832, -126.554871]"
"[12.083832, -101.554871]","[10.083832, -119.554871]","[-12.916168, -108.554871]"
"[12.083832, -101.554871]","[-12.916168, -108.554871]","[-13.916168, -105.554871]"
"[5.083832, -131.554871]","[4.083832, -134.554871]","[-5.916168, -140.554871]"
"[10.083832, -119.554871]","[10.083832, -122.554871]","[7.083832, -126.554871]"
"[10.083832, -119.554871]","[7.083832, -126.554871]","[-10.916168, -125.554871]"
"[10.083832, -119.554871]","[-10.916168, -125.554871]","[-13.916168, -114.554871]"
"[10.083832, -119.554871]","[-13.916168, -114.554871]","[-12.916168, -108.554871]"
"[-5.916168, -140.554871]","[-10.916168, -129.554871]","[-10.916168, -125.554871]"
"[-5.916168, -140.554871]","[-10.916168, -125.554871]","[7.083832, -126.554871]"
"[-5.916168, -140.554871]","[7.083832, -126.554871]","[5.083832, -131.554871]"
"[66.083832, -116.554871]","[68.083832, -113.554871]","[71.083832, -115.554871]"
"[66.083832, -116.554871]","[71.083832, -115.554871]","[70.083832, -121.554871]"
"[71.083832, -115.554871]","[79.083832, -111.554871]","[79.083832, -114.554871]"
"[71.083832, -115.554871]","[79.083832, -114.554871]","[70.083832, -121.554871]"
"[33.083832, -96.554871]","[43.083832, -91.554871]","[48.083832, -97.554871]"
"[33.083832, -96.554871]","[48.083832, -97.554871]","[52.083832, -104.554871]"
"[33.083832, -96.554871]","[52.083832, -104.554871]","[41.083832, -116.554871]"
"[33.083832, -96.554871]","[41.083832, -116.554871]","[35.083832, -108.554871]"
"[32.083832, -99.554871]","[28.083832, -102.554871]","[28.083832, -96.554871]"
"[32.083832, -99.554871]","[28.083832, -96.554871]","[31.083832, -98.554871]"
"[28.083832, -102.554871]","[30.083832, -107.554871]","[23.083832, -110.554871]"
"[28.083832, -102.554871]","[23.083832, -110.554871]","[19.083832, -105.554871]"
"[28.083832, -102.554871]","[19.083832, -105.554871]","[15.083832, -99.554871]"
"[28.083832, -102.554871]","[15.083832, -99.554871]","[28.083832, -96.554871]"
"[61.083832, -117.554871]","[66.083832, -116.554871]","[70.083832, -121.554871]"
"[61.083832, -117.554871]","[70.083832, -121.554871]","[60.083832, -127.554871]"
"[61.083832, -117.554871]","[60.083832, -127.554871]","[55.083832, -122.554871]"
"[35.083832, -108.554871]","[32.083832, -99.554871]","[33.083832, -96.554871]"
"[33.083832, -96.554871]","[32.083832, -92.554871]","[43.083832, -91.554871]"
"[50.083832, -133.554871]","[47.083832, -129.554871]","[55.083832, -122.554871]"
"[50.083832, -133.554871]","[55.083832, -122.554871]","[60.083832, -127.554871]"
"[53.083832, -121.554871]","[46.083832, -124.554871]","[41.083832, -116.554871]"
"[53.083832, -121.554871]","[41.083832, -116.554871]","[52.083832, -104.554871]"
"[53.083832, -121.554871]","[52.083832, -104.554871]","[57.083832, -110.554871]"
"[53.083832, -121.554871]","[57.083832, -110.554871]","[61.083832, -117.554871]"
"[32.083832, -99.554871]","[31.083832, -98.554871]","[33.083832, -96.554871]"
"[61.083832, -117.554871]","[55.083832, -122.554871]","[53.083832, -121.554871]"
"[-95.916168, -94.554871]","[-92.916168, -94.554871]","[-92.916168, -96.554871]"
"[-95.916168, -94.554871]","[-92.916168, -96.554871]","[-96.916168, -100.554871]"
"[-100.916168, -108.554871]","[-99.916168, -100.554871]","[-96.916168, -100.554871]"
